Iter,O,D,aCost,bCost
139,N001,N002,0.48314285700000004,1.337857143
139,N001,N003,0.5331428570000001,1.3755574830000001
139,N004,N002,0.516571428,1.352857143
139,N004,N003,0.566571428,1.3684714416666668
140,N001,N002,0.48314285700000004,1.337857143
140,N001,N003,0.5331428570000001,1.3755574830000001
140,N004,N002,0.516571428,1.352857143
140,N004,N003,0.566571428,1.3684714416666668
141,N001,N002,0.48314285700000004,1.337857143
141,N001,N003,0.5331428570000001,1.3755574830000001
141,N004,N002,0.516571428,1.352857143
141,N004,N003,0.566571428,1.3684714416666668
142,N001,N002,0.48314285700000004,1.337857143
142,N001,N003,0.5331428570000001,1.3755574830000001
142,N004,N002,0.516571428,1.352857143
142,N004,N003,0.566571428,1.3684714416666668
143,N001,N002,0.48314285700000004,1.337857143
143,N001,N003,0.5331428570000001,1.3755574830000001
143,N004,N002,0.516571428,1.352857143
143,N004,N003,0.566571428,1.3684714416666668
144,N001,N002,0.48314285700000004,1.337857143
144,N001,N003,0.5331428570000001,1.3755574830000001
144,N004,N002,0.516571428,1.352857143
144,N004,N003,0.566571428,1.3684714416666668
145,N001,N002,0.48314285700000004,1.337857143
145,N001,N003,0.5331428570000001,1.3755574830000001
145,N004,N002,0.516571428,1.352857143
145,N004,N003,0.566571428,1.3684714416666668
146,N001,N002,0.48314285700000004,1.337857143
146,N001,N003,0.5331428570000001,1.3755574830000001
146,N004,N002,0.516571428,1.352857143
146,N004,N003,0.566571428,1.3684714416666668
147,N001,N002,0.48314285700000004,1.337857143
147,N001,N003,0.5331428570000001,1.3755574830000001
147,N004,N002,0.516571428,1.352857143
147,N004,N003,0.566571428,1.3684714416666668
148,N001,N002,0.48314285700000004,1.337857143
148,N001,N003,0.5331428570000001,1.3755574830000001
148,N004,N002,0.516571428,1.352857143
148,N004,N003,0.566571428,1.3684714416666668
149,N001,N002,0.48314285700000004,1.337857143
149,N001,N003,0.5331428570000001,1.3755574830000001
149,N004,N002,0.516571428,1.352857143
149,N004,N003,0.566571428,1.3684714416666668
150,N001,N002,0.48314285700000004,1.337857143
150,N001,N003,0.5331428570000001,1.3755574830000001
150,N004,N002,0.516571428,1.352857143
150,N004,N003,0.566571428,1.3684714416666668
151,N001,N002,0.48314285700000004,1.337857143
151,N001,N003,0.5331428570000001,1.3755574830000001
151,N004,N002,0.516571428,1.352857143
151,N004,N003,0.566571428,1.3684714416666668
152,N001,N002,0.48314285700000004,1.337857143
